0, 1845 MHz, 6800 MHz, 185.25 W, 71
1, 1860 MHz, 6800 MHz, 250.03 W, 70
2, 1860 MHz, 6800 MHz, 250.81 W, 73
3, 1815 MHz, 6800 MHz, 230.37 W, 76
0, 1845 MHz, 6800 MHz, 217.05 W, 71
1, 1860 MHz, 6800 MHz, 201.35 W, 70
2, 1860 MHz, 6800 MHz, 247.24 W, 73
3, 1815 MHz, 6800 MHz, 240.51 W, 76
0, 1845 MHz, 6800 MHz, 223.57 W, 71
1, 1860 MHz, 6800 MHz, 240.89 W, 69
2, 1860 MHz, 6800 MHz, 197.66 W, 73
3, 1815 MHz, 6800 MHz, 188.20 W, 76
0, 1845 MHz, 6800 MHz, 223.77 W, 72
1, 1860 MHz, 6800 MHz, 238.74 W, 70
2, 1860 MHz, 6800 MHz, 233.52 W, 73
3, 1815 MHz, 6800 MHz, 224.88 W, 76
0, 1845 MHz, 6800 MHz, 225.02 W, 73
1, 1860 MHz, 6800 MHz, 248.11 W, 71
2, 1845 MHz, 6800 MHz, 246.22 W, 74
3, 1815 MHz, 6800 MHz, 238.91 W, 77
0, 1845 MHz, 6800 MHz, 223.01 W, 73
1, 1860 MHz, 6800 MHz, 239.80 W, 71
2, 1845 MHz, 6800 MHz, 256.36 W, 74
3, 1815 MHz, 6800 MHz, 241.43 W, 77
0, 1845 MHz, 6800 MHz, 225.67 W, 73
1, 1860 MHz, 6800 MHz, 239.52 W, 71
2, 1845 MHz, 6800 MHz, 259.77 W, 74
3, 1815 MHz, 6800 MHz, 242.11 W, 77
0, 1845 MHz, 6800 MHz, 224.80 W, 72
1, 1860 MHz, 6800 MHz, 249.74 W, 71
2, 1845 MHz, 6800 MHz, 245.62 W, 74
3, 1815 MHz, 6800 MHz, 239.46 W, 77
0, 1845 MHz, 6800 MHz, 224.45 W, 73
1, 1860 MHz, 6800 MHz, 250.42 W, 71
2, 1845 MHz, 6800 MHz, 247.54 W, 74
3, 1815 MHz, 6800 MHz, 238.02 W, 77
0, 1845 MHz, 6800 MHz, 224.05 W, 73
1, 1845 MHz, 6800 MHz, 251.35 W, 71
2, 1845 MHz, 6800 MHz, 247.46 W, 74
3, 1815 MHz, 6800 MHz, 240.91 W, 77
0, 1845 MHz, 6800 MHz, 226.40 W, 73
1, 1845 MHz, 6800 MHz, 245.69 W, 70
2, 1860 MHz, 6800 MHz, 244.68 W, 74
3, 1815 MHz, 6800 MHz, 241.43 W, 77
0, 1845 MHz, 6800 MHz, 226.21 W, 72
1, 1860 MHz, 6800 MHz, 247.70 W, 71
2, 1845 MHz, 6800 MHz, 256.09 W, 74
3, 1815 MHz, 6800 MHz, 239.04 W, 77
0, 1845 MHz, 6800 MHz, 209.21 W, 72
1, 1860 MHz, 6800 MHz, 246.09 W, 71
2, 1845 MHz, 6800 MHz, 213.69 W, 74
3, 1815 MHz, 6800 MHz, 186.38 W, 77
0, 1845 MHz, 6800 MHz, 181.44 W, 72
1, 1860 MHz, 6800 MHz, 191.47 W, 70
2, 1860 MHz, 6800 MHz, 199.90 W, 74
3, 1815 MHz, 6800 MHz, 206.43 W, 77
0, 1845 MHz, 6800 MHz, 227.70 W, 71
1, 1860 MHz, 6800 MHz, 250.52 W, 69
2, 1860 MHz, 6800 MHz, 191.40 W, 73
3, 1815 MHz, 6800 MHz, 201.09 W, 76
0, 1845 MHz, 6800 MHz, 224.50 W, 73
1, 1860 MHz, 6800 MHz, 242.19 W, 71
2, 1845 MHz, 6800 MHz, 252.53 W, 74
3, 1815 MHz, 6800 MHz, 242.24 W, 78
0, 1845 MHz, 6800 MHz, 224.81 W, 73
1, 1860 MHz, 6800 MHz, 254.01 W, 71
2, 1845 MHz, 6800 MHz, 249.59 W, 74
